sample,num_processed,num_mapped,percent_mapped,num_decoy_fragments,num_dovetail_fragments,num_fragments_filtered_vm,library_types
sample_1,90268261,72927784,80.79006197,0,4803695,12928561,IU
sample_10,110581420,87476199,79.10569334,0,9245005,16420728,IU
sample_11,105228987,85273195,81.03584139,0,9609392,13248501,IU
sample_12,99436896,79502339,79.95255504,0,5457837,14066790,IU
sample_13,103900433,80661327,77.63329244,0,6572561,15612782,IU
sample_14,123588102,97269026,78.70419921,0,8608572,18810300,IU
sample_15,101364181,81866962,80.76517878,0,6654847,13933940,IU
sample_16,100199133,81128803,80.96756985,0,6785014,12924862,IU
sample_17,106426635,84819417,79.69754658,0,8529519,14846280,IU
sample_18,92377850,73352623,79.40499048,0,6852020,13588149,IU
sample_19,82462037,66092959,80.149559,0,4701762,11669699,IU
sample_2,90610991,72662610,80.19182794,0,7359567,12346897,IU
sample_20,85165964,67574307,79.34426363,0,5496293,12724102,IU
sample_21,86394821,64762876,74.96152576,0,5931119,12165640,IU
sample_22,85072689,70409311,82.76370693,0,5852565,10036496,IU
sample_23,84100144,68126186,81.00602777,0,5023634,11268194,IU
sample_24,95959174,76278332,79.49040078,0,8217192,12649005,IU
sample_25,97174371,77828586,80.09167973,0,5649786,13617669,IU
sample_26,94540352,75657602,80.02678264,0,5891424,11453743,IU
sample_27,95180002,73458331,77.17832471,0,6594973,13947669,IU
sample_28,82132056,64971281,79.10587433,0,6059130,12563501,IU
sample_29,86752429,67854774,78.21656959,0,5475617,12806734,IU
sample_3,93429759,73683285,78.86489892,0,7070469,13578129,IU
sample_30,87874898,71036589,80.83831745,0,5256401,12816722,IU
sample_31,93670186,74247083,79.2643702,0,6311874,12859026,IU
sample_32,95057188,77099236,81.10826506,0,5812057,12899910,IU
sample_33,94977392,75393523,79.38049404,0,6333973,14433240,IU
sample_34,90975925,65188179,71.65431844,0,5344613,16167133,IU
sample_35,95852407,76474597,79.78370016,0,6849633,13564074,IU
sample_36,84577623,66951769,79.16014499,0,8151737,12262875,IU
sample_37,82302514,66650152,80.98191508,0,6550036,10866690,IU
sample_38,90491859,73414560,81.12835874,0,5898578,12280512,IU
sample_39,93048890,74722454,80.30450874,0,5036562,13293816,IU
sample_4,84355954,51812109,61.42080854,0,4835638,16632334,IU
sample_40,101119708,82335618,81.42390799,0,6046160,13563162,IU
sample_41,94112102,76917604,81.72976946,0,5772807,12537366,IU
sample_42,101991167,81680150,80.08551368,0,6183337,13785292,IU
sample_43,81217459,65823177,81.04560006,0,5688886,10974681,IU
sample_44,160598301,128568676,80.05606236,0,10354939,22978065,IU
sample_46,85608166,69539202,81.22963643,0,6133451,10710067,IU
sample_47,100109674,79337298,79.25038094,0,7745325,14413895,IU
sample_48,87479575,70255245,80.31045533,0,5680731,12281160,IU
sample_49,96920424,76159271,78.57917646,0,7451858,15176497,IU
sample_5,76991806,62215491,80.80793819,0,4936025,10416943,IU
sample_50,99525891,79071419,79.44808954,0,7470640,13514073,IU
sample_51,109193326,82667113,75.70711144,0,7923149,16891200,IU
sample_52,95558825,74763954,78.23867026,0,6963862,13533320,IU
sample_53,136143569,110289253,81.00952091,0,10211472,18249072,IU
sample_54,132575171,107729384,81.25909489,0,9399182,16440917,IU
sample_55,101892086,82032664,80.50935771,0,6800510,13542544,IU
sample_56,118476387,97777471,82.52907898,0,8323024,14620291,IU
sample_57,95046388,76521293,80.50941715,0,6349249,12768037,IU
sample_58,96136559,79436289,82.62859606,0,6931813,11360595,IU
sample_59,99549710,80550637,80.9149891,0,8066933,13413724,IU
sample_6,71772979,57887834,80.65407735,0,4073792,10329676,IU
sample_60,115345102,92682904,80.3527002,0,9847112,15893464,IU
sample_61,138659203,109496219,78.96786988,0,11371987,19649431,IU
sample_62,174069388,134823945,77.45413858,0,10792311,26553204,IU
sample_63,98082914,77889376,79.41176788,0,8168945,13415312,IU
sample_7,72447882,55451765,76.54021549,0,5814377,10815880,IU
sample_8,95654052,74687920,78.08129236,0,6293292,13302468,IU
sample_9,108057854,83840277,77.5883232,0,7874603,16469361,IU